cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
1471,2587.5,cc_longest,149.04,1.0557,3.065,6.184,171.1,109,"267,227;185,132"
2442,1777.58,polyline,,,2.5958,,,86,
1302,1599.02,polyline,,,1.9044,,,76,
3330,1554.07,polyline,,,1.246,,,68,
316,1464.51,cc_longest,159.62,1.0885,1.8216,5.369,155.7,88,"96,231;43,275"
1454,1424.06,polyline,,,3.1077,,,70,
1019,1262.25,polyline,,,1.9638,,,59,
278,1258.33,polyline,,,1.4978,,,53,
2957,1247.46,polyline,,,2.6294,,,75,
2694,1209.79,polyline,,,1.3849,,,0,
718,1208.4,polyline,,,3.7336,,,78,
3649,1201.12,cc_longest,168.99,1.2061,1.8226,3.441,170.2,50,"501,97;463,131"
140,1176.85,cc_longest,175.78,1.0643,2.5444,3.881,176.0,55,"66,414;20,447"
2433,1160.67,cc_longest,126.43,1.2118,2.2339,3.757,114.5,56,"335,326;321,373"
15,1149.81,polyline,,,2.0825,,,65,
2521,1106.0,polyline,,,2.0021,,,70,
3105,1076.99,polyline,,,1.2662,,,52,
981,1022.57,cc_longest,155.02,1.1477,1.8336,7.491,151.8,44,"145,58;125,17"
1871,1021.18,polyline,,,2.3908,,,45,
2820,980.15,cc_longest,179.39,1.058,1.6954,3.317,179.9,41,"412,136;373,109"
1441,975.41,polyline,,,1.8221,,,48,
691,974.6,polyline,,,1.0999,,,48,
2712,961.2,cc_longest,154.84,1.0955,1.052,1.847,171.1,49,"370,377;357,334"
4,937.5,polyline,,,5.2174,,,0,
2084,928.26,cc_longest,176.03,1.07,1.8101,2.921,175.3,45,"313,475;275,452"
3549,916.01,polyline,,,2.0742,,,56,
1811,860.19,polyline,,,1.5329,,,38,
2405,858.23,polyline,,,1.4516,,,35,
2273,853.49,polyline,,,1.571,,,36,
2530,844.01,polyline,,,1.6664,,,48,
1195,797.43,polyline,,,1.6409,,,41,
800,794.89,cc_longest,159.48,1.1232,1.5302,3.276,153.8,39,"131,404;99,421"
3557,754.44,polyline,,,1.4033,,,33,
1392,713.99,polyline,,,2.1093,,,33,
2329,710.64,polyline,,,1.5043,,,33,
