cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
928,2234.89,cc_longest,130.7,1.1855,2.2545,4.298,112.9,152,"179,33;83,43"
2057,1849.0,polyline,,,2.309,,,83,
2447,1639.48,cc_longest,154.98,1.2912,0.8781,3.274,113.3,184,"311,8;246,7"
3705,1623.29,cc_longest,144.19,1.3275,1.6539,4.03,91.3,299,"417,195;389,139"
445,1558.57,polyline,,,2.2879,,,77,
3203,1545.98,cc_longest,130.7,1.1909,1.5138,3.649,137.6,93,"381,511;334,464"
3978,1374.7,polyline,,,2.2305,,,0,
910,1371.35,cc_longest,171.83,1.0681,2.8794,5.856,167.5,78,"145,134;81,149"
2739,1357.37,cc_longest,167.14,1.0989,2.2287,8.73,166.6,67,"333,159;281,195"
1971,1325.59,polyline,,,1.7332,,,0,
852,1302.13,cc_longest,175.97,1.0678,3.0679,5.949,174.2,61,"107,363;74,310"
4435,1277.86,cc_longest,143.4,1.1507,1.7476,3.253,143.8,72,"497,395;465,442"
242,1149.81,polyline,,,2.5635,,,53,
4427,1095.95,cc_longest,162.78,1.2582,4.0,9.175,166.6,90,"482,53;467,11"
2130,1048.8,cc_longest,139.18,1.2229,1.8892,3.345,129.6,49,"247,143;209,165"
2579,1023.14,polyline,,,2.3818,,,106,
4176,992.17,polyline,,,1.3663,,,0,
3296,992.17,cc_longest,146.31,1.2092,3.3305,7.141,127.1,85,"385,11;343,10"
3118,987.43,polyline,,,1.6707,,,0,
1493,955.88,cc_longest,154.06,1.1272,1.6332,3.701,128.5,42,"177,455;143,428"
2682,952.53,cc_longest,156.05,1.1977,1.9778,7.387,140.1,52,"311,369;274,386"
3887,945.02,polyline,,,2.6231,,,54,
1434,940.28,polyline,,,3.1002,,,57,
3617,876.37,polyline,,,2.8116,,,53,
832,871.63,cc_longest,161.57,1.16,1.9983,3.801,142.2,40,"90,247;72,213"
4128,809.68,polyline,,,2.0068,,,35,
1243,801.59,polyline,,,2.2665,,,35,
2289,788.77,polyline,,,1.6569,,,0,
4347,785.41,cc_longest,166.29,1.2141,1.7656,2.824,143.2,43,"472,133;456,162"
1331,756.4,cc_longest,163.41,1.1332,2.3052,4.242,150.0,41,"138,63;126,31"
3969,746.35,cc_longest,159.34,1.1666,1.8367,4.647,153.1,37,"432,26;415,54"
2582,702.55,polyline,,,2.2758,,,32,
1680,700.59,polyline,,,3.1066,,,36,
1996,699.2,polyline,,,1.8719,,,0,
2638,695.85,polyline,,,2.932,,,30,
3030,691.11,polyline,,,2.0165,,,36,
3966,671.58,polyline,,,2.285,,,30,
1067,668.23,cc_longest,177.66,1.1083,2.1791,4.123,175.4,45,"110,272;97,300"
1267,648.7,polyline,,,2.222,,,36,
781,647.31,cc_longest,167.71,1.171,2.4628,4.827,162.1,37,"91,194;67,179"
1999,637.25,polyline,,,1.6728,,,27,
511,629.16,polyline,,,2.8393,,,0,
1254,626.39,polyline,,,1.4497,,,35,
547,614.95,polyline,,,1.9515,,,41,
2370,610.21,polyline,,,2.4616,,,0,
3324,609.63,polyline,,,2.7336,,,26,
2022,592.06,cc_longest,161.57,1.1258,1.9786,3.787,166.7,30,"221,395;196,385"
3080,588.71,cc_longest,170.17,1.108,1.8775,3.17,167.2,34,"331,104;323,78"
